Factor,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
F1,2.077285688339479,2.077285688339479,12.219327578467523,12.219327578467523
F2,1.9272514201392479,4.004537108478727,11.336773059642635,23.55610063811016
F3,1.0682840767969008,5.072821185275628,6.28402398115824,29.840124619268398
F4,1.0481135331076963,6.1209347183833245,6.16537372416292,36.00549834343132
F5,1.0334526124452987,7.154387330828623,6.0791330143841105,42.084631357815425
F6,0.9919058331428797,8.146293163971503,5.8347401949581155,47.91937155277354
F7,0.986165009760923,9.132458173732426,5.800970645652488,53.72034219842603
F8,0.9220307374194501,10.054488911151875,5.423710220114413,59.14405241854044
F9,0.9106763052988606,10.965165216450735,5.356919442934474,64.50097186147491
F10,0.827048440530835,11.79221365698157,4.864990826651971,69.36596268812688
F11,0.8109915328767866,12.603205189858356,4.77053842868698,74.13650111681386
F12,0.7793074800231352,13.382512669881491,4.584161647194913,78.72066276400878
F13,0.6637048774969512,14.046217547378442,3.90414633821736,82.62480910222614
F14,0.6351514460030439,14.681368993381486,3.7361849764884933,86.36099407871463
F15,0.5238452434090172,15.205214236790503,3.081442608288336,89.44243668700295
F16,0.08989199323977153,15.295106230030274,0.5287764308221855,89.97121311782514
F17,0.0,15.295106230030274,0.0,89.97121311782514
