Code,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
ALB,2.9922243003727664,0.39920756889085096,0.09243948633936744,0.7285616369196052,9.162090975304588,9.368886980142513,0.9054219921752896,11.39457421217367,8.865843652610485,0.3152259352231695,2.2929999964741543,6.229354413441203
AUT,0.17073134954729788,0.7411383173262915,0.0006597590954446994,0.012391040656652455,1.7299012913364882,0.6997774140752785,4.599363397894201,0.4369374079720934,4.140516838010929,8.305756155522475,2.9620509969878466,1.590497522184403
BLR,0.7125097145524791,3.6822635349821744,0.8264641941752624,6.7199721376690205,1.8439429341528386,1.3868584565227107,0.2876001081703511,1.0599797187980402,0.0316198839489821,0.7851772589492838,0.03009323715107059,1.080921837552388
BEL,0.10197531351714373,4.910567661580991,0.003172543725585795,0.3940035419158282,0.5101809961678779,1.3467796063508872,0.0007471717663175316,0.06324220713376584,0.00491279810858636,0.0029995174936293537,0.014775953132745432,0.8224261363848082
BIH,0.057017419365900816,7.987825982143215,14.286077619013733,0.18051572046031314,2.086232120918966,12.120279349840834,0.18653597339049535,3.379514158515468,10.330758011520043,1.2876128384978511,1.854472806387254,0.04986084822570081
BGR,2.81618439328021,0.46445438832016706,0.8223262164944815,0.08439990639652303,0.30058418728416336,3.3209429307973033,0.17700134294761652,0.27250099745402,1.9247201028057572,2.216794171845478,10.821269247274397,1.4156796180793534
HRV,0.017643700927438784,3.15195185766481,3.7341980989853076,0.7281243212619083,0.11971218876299942,0.5090620708709287,0.2821993132976837,2.4502031211076227,4.4790003523865956,0.08161453321130054,1.408364744129803,0.5764719918687252
CZE,0.3201205807234835,0.04488472861721691,1.48798155655415,0.2329561841216689,8.399077505723064,0.08443013487058133,5.1561080901043574,0.6035989308443581,0.14560066419515674,0.38943994296925843,1.9436393551852196,1.558354786442685
CYP,22.975670067507455,0.0006155190994144578,4.174550061736059,5.481807712317521,1.2261982653199135,1.6445512497901387,0.34250371428156046,0.5239393338938214,1.2909697850705706,2.631525774071577,14.92136066882444,0.6575494855284088
DNK,3.3601520066585944,3.259784135203548,0.9692788832004307,2.841733893861598,0.5451476058442366,5.368844844007571,2.7748981401321613,0.004770814243777539,1.6993589659243196,0.1564476287069223,0.3278687098126717,2.7354723066678606
GBR,1.1452552458983982,4.787630876917765,0.00988068442814567,0.9366172915205656,2.143057333937368,2.299307554092308,1.2362195092851032,1.104628110784645,0.0023977506506105877,0.3034782985527845,4.542518314385492,2.6292729989355426
EST,1.0953089664758207,2.270853346544646,9.032834321426277,3.8733132472585514,0.015629180152181777,2.4416886344913253,0.015949033851170715,5.7825765077702895,3.5705083008331813,18.92044084246577,4.2210245751397615,0.5083409096949357
FIN,5.266456437044832,1.1139310960483793,12.535980389244342,10.711497723656478,21.362003236490473,4.371228167990319,0.6884871130084836,10.421217689366545,1.9761408878460252,1.8241676315940782,0.3884434649463642,0.024653549381263403
FRA,0.07570100742226711,3.9048483223131045,6.336635517165882e-05,0.349090122126686,0.4083264355084221,1.3129294994279115,0.8012632498439992,0.4321962043958701,0.0306159147898672,3.0427509563392126,1.9676828216996909,0.12247919155423245
DEU,0.34009533474822073,3.0132998980970633,0.0002465207876563362,0.07458629492202813,0.4119243330153102,0.2373993014022755,1.6291472679461358,0.42561611318301407,1.6973436752666982,0.04938401660300115,0.27467716124401403,1.3929285970688334
GRC,9.193688407627691,0.0006077957917322147,1.5527900546748195,0.931870894108391,0.13156988650370863,1.2860308522695145,0.11776060407334056,8.80351616353578,3.413679848833742,6.703929101419468,0.003912499932446461,2.6991974371013447
HUN,0.041618860260433696,0.2014497114223716,0.0475752859015353,3.551033467484959,0.4002602771791357,3.0278577313713817,2.740742636467186,8.111927659346618,0.2335958252867917,2.9872709102269965,0.5358693270346533,1.4854059598375267
ISL,4.838497694021396,1.4896331004959147,0.16585495789074634,0.523241216764467,0.3259402036403542,0.16300653485564529,9.27292136393902,1.4370545977134583,0.010005488896274069,0.6240333965718624,0.12153295531354202,1.7801114114183958
IRL,1.198539986458122,6.694007646922387,0.11148695322145913,8.498066175463402,6.278735518315147,4.023989773990928,0.4641064708055567,0.4442213652347672,1.4385111190620405,0.13432642777055565,5.712285400268116,0.5925507016034958
ITA,4.583857306999612,2.326325518533122,1.0428540596137077,0.0002451107907747958,0.15268778421676973,0.32779938621878707,4.0200025798506145,0.6514126123983508,1.4830648697513364,2.1797537250854426,3.3558763548984007,1.9535673128039581
LVA,3.0299063115571685,2.7687946890577866,6.4956662813425,0.005601157125473013,0.13631529353065383,0.5149530284319167,2.822083349073512,0.022253510139326523,5.737285581628693,0.0496007916387497,1.9057014634897964,0.4215569036050309
LTU,2.974366096056652,4.026589662436961,5.862270312449544,0.020425454662547415,0.6653201411036698,0.2926266751242395,3.8427149938093503,1.0164081980895543,3.3216062634493153,0.46657098386902635,2.949659398494554,0.3947516110981338
MKD,2.468043848196802,0.7686759342463627,0.9523171266222595,0.11592601244157513,1.6224434540926227,1.5773058998814045,0.08834121544225992,0.4484512687288686,0.01584867449620661,0.2694545688933343,0.04983789568030982,0.08892148883416597
MLT,11.561875108411192,0.2673258829576773,1.6692442287148002,5.994088353393757,3.7880038510822462,10.764995380216922,11.99973038784636,12.193907969820838,5.34188006847225,0.05952111441582335,0.17650161795468192,0.7599765063066667
MDA,0.2222250183596697,0.6441628415683892,0.012703598629152326,4.396822294270222,0.0002387193106363562,1.4218997110476768,10.721469224930981,5.9030508403330915,5.846534858367137,15.474468516741668,1.5278509461506558,3.0900204024225095
MNE,0.3542424019579308,2.05544547893653,14.658206791643655,1.6567858603614591,5.786996367345078,0.0677812342300845,2.2150783778565413,1.6771872567053536,7.553422260402035,0.3665964532135528,2.2673499814637563,0.42306452398940736
NLD,0.36770692759403467,7.340778821144212,0.07120483356290803,0.7325477349387375,0.1225179330272112,1.2359265248610531,0.19774582366830956,0.6395529291702052,2.4698582374883933,9.109825109170131,2.6917940108824907,41.760623985708605
NOR,4.687002098169451,1.3388642471109036,0.22952239107354058,1.3331335523396852,1.3157739309182344,2.4554317713349976,5.492189202550151,0.47990308225036676,0.07883938450333203,0.00038697236940314514,0.21761263122821542,1.4376130409137555
POL,1.5438921517545054,1.4622853624628476,0.4809889418483558,3.4787020572653664,8.893677237084392,0.6062104624739433,1.431469709626718e-06,3.820037372531548,0.9402598897796168,0.11227026774686093,0.0016865263428764924,0.011391351019237508
PRT,2.5161978931001756,3.177163580763019,0.23769267133381383,0.016205163412142946,0.16169151300541684,2.9178257587043905,1.170033258067173,0.0003655258382282397,2.3834849230557866,0.037017464761717994,10.575748518679006,0.2953350022856749
ROU,0.9725195309335215,0.3851064658671531,1.6739902103190074,0.7398868813085985,0.16681003707051503,2.840456521261816,1.2107866622394567,1.6452616929195243,0.8789308057328524,0.33942874673364754,7.802659196358748,3.6329321276819053
RUS,1.1823360059264805,5.285843795428025,0.5777006845778383,0.8501710035539505,2.9008116518542293,6.380804368583091,1.7712827626219763,2.0527252869447303,1.8018899577179366,0.22198131084656575,0.297515359369465,0.00033987364697606395
SRB,0.15503980070464538,3.271873479220338,6.270427731623075,0.670263111268784,1.8856937011159847,0.4258614257924338,0.024249829083582385,1.0207971073739672,0.8904773776500577,0.017458703926184788,0.8052964070254374,0.2537084758487301
SVK,0.14559467021614192,1.1013337752948462,0.0017043290460048992,2.796364030370461,3.473820981778313,0.10092765247969225,0.5207068143225015,0.8030970551641364,0.3391354458199811,0.9844311798898664,5.417295940028706,1.5243940210813793
SVN,0.40002098305554773,1.1486277545925379,0.06780938220198379,5.598195182345176,0.38201112348709343,0.09368458384548045,1.365170849464229,0.9048352719161543,9.296971499568917,0.46614521179846374,0.14770085918137857,2.1519920952661247
ESP,0.7094536636662996,1.6944824530609781,1.970461585053994,2.13141179126534,3.6870074169345086,12.268889174290592,1.166749795997876,4.37297535311078,1.1624607397996314,3.658477154606877,2.8028214761476904,1.2968146768977765e-05
SWE,5.049994644542759,0.3945020433769826,4.17587946207628,21.414908687527422,1.3230528106805943,0.0466426898565524,3.6792746249008745,0.7259923051432522,1.2822777467633695,3.3982147280220807,0.3393765433532568,5.091207761803832
