Code,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
ALB,1.0802626889536528,-0.3945769276927275,-0.18987206132644482,-0.533046938269648,1.8902950775920648,1.9115088077891706,0.5942344461139583,-2.1080521679379114,-1.8594835370387364,0.3506253195892105,-0.9456585000014132,-1.5586687336448122
AUT,0.2580411330068252,0.537628071957979,-0.0160407620524535,-0.06951622728611252,-0.8213778080890854,0.5224109412037217,-1.3393101676530115,0.41280211858603194,1.2707484278267915,1.799790237959347,1.0748022556848602,0.7875874768251967
BLR,-0.5271420953362256,-1.1983667129234892,0.5677332434588903,-1.6188851514826235,-0.8480198961814559,0.7354419066410729,0.3349090058305941,0.6429557452354209,0.11104843420824546,0.553370699432325,-0.10833449353238128,0.6492761482184648
BEL,-0.19942510441688624,1.3838791088879792,-0.03517516244423695,-0.3919966598673679,0.4460611936780338,-0.7247372258114285,-0.017070354093100624,0.15704923044118577,0.043772037447995044,-0.034202511932831005,0.07591193398781731,0.5663445887355646
BIH,0.14912006421907575,-1.7650076863956867,-2.3604173934741595,0.2653321144895998,0.9020147045134003,-2.1741455669844005,0.26972028033185264,1.1480463935839142,2.00723581686179,-0.7086388410284619,-0.8504377663833086,0.1394479501750461
BGR,1.048003775460413,-0.42560217509414255,-0.5663101839388437,-0.1814275709329868,0.3423855035494694,1.1380543673352987,-0.2627366052714589,0.3259990628929288,-0.8663953139844683,-0.9298116621228925,2.054335660605887,0.7430444475607866
HRV,0.08295205459602017,-1.1087205348911313,-1.206787992401427,-0.5328869348108884,0.2160734912421461,-0.44557177608064674,0.3317495021640524,0.9775373226797902,1.3216694508956361,0.1784087104163,-0.7411222909956391,-0.47415617345848116
CZE,-0.35333698714139494,0.1323066293150672,-0.7617826507975338,0.30141816767980467,-1.8098729864915923,-0.18146005786267863,-1.4180557658783024,-0.4851840712856303,-0.23829447965933062,-0.389719870879085,-0.8706430660851999,0.7795885881108128
CYP,2.9934113192690193,-0.015493626069182082,1.2759602360877316,1.4621576549072375,-0.6915325903200559,0.8008589060615817,0.36548111930687815,-0.452035773162468,0.7095619889604591,1.01306221521085,-2.412328887370366,0.506403297141778
DNK,-1.144752935177215,1.1275264133178362,-0.6148323059568089,1.0527469869850128,-0.4610938801147249,1.4470139906590227,1.0402933598997652,0.043134876319206476,0.8140945870784824,-0.24701128556343263,-0.3575874673795802,1.0328766623369903
