Regiune/Haplogrup,L,HV,H,H1_H3,H5,HV0_V,J,T1,T2,U2,U3,U4,U5,U,K,Eu,W,X,Alt,M?rime
Palestine,11.3,2,27.4,,2.7,0.5,9.5,2.7,5.1,0.2,2.4,0.3,1.7,3.9,6.9,0.2,1,2,21.5,409
Poland,0.1,1,43.9,14.5,4.5,4.9,7.9,2.1,6.9,1.3,0.7,5.2,10.1,1.4,4,1.9,3.6,1.9,3,883
Portugal,6.4,0.1,43.9,26,2.1,4.8,6.8,3.3,6.3,1.2,0.9,1.7,6.5,3,6.1,2.2,1.8,2,2.9,1448
Romania,0.2,2,37.2,3.5,6.1,4,10.5,3.5,5.1,1.2,1,2.9,7.2,2.4,7.9,0.9,3.9,1.9,9,1375
Russia,0.2,1.8,41.2,15,4.9,4.2,7.8,2.7,6.5,1.4,1.1,3.9,10.4,2.2,3.7,2,1.8,1.3,8,1768
Adyghe-Kabardin,0,4.2,25.6,3.5,2.2,0,4.6,3.6,6.2,3.6,7.2,1.9,8.5,3,7.2,2.3,5.2,4.9,12,305
Avars (Caucasus),0,8.2,23,,,4.9,1.7,0,1.7,0,0,6.4,13.1,8.2,13.1,1.6,8.2,4.9,5,61
Bashkirs,0,0,22.1,,,2.1,6,0.3,2,2.2,0,14.8,7.4,0,2.4,0.5,0.6,0,28,666
Chechen-Ingush,0,1.1,25.8,3.5,0.4,0.6,3.2,1.8,12.5,2.9,6.1,3.9,10.4,2.9,5,5.7,3.2,1.4,13.5,279
Chuvash,0,0,27.3,2.5,2.5,7.3,5.5,3.6,3.6,0,1.8,16.4,14.5,3.6,7.3,1.8,0,0,7.3,55
Dargins,0,9.1,23.6,,,1.1,10.9,1.8,1.8,3.6,1.8,6.4,13.6,2.8,11.8,6.4,1.1,3.6,0.6,110
Karachay-Balkars,0,2.4,25.2,5.5,5.9,0.4,2.8,4.5,5.7,4.5,7.7,1.2,3.2,12.6,4.9,2,8.1,4.5,23.9,246
Kumyks,0,3.6,24.1,,,0.9,8,1.8,9.8,2.7,6.3,6.3,5.3,2.7,2.7,5.3,1.8,0.9,17.9,112
Nogays,0.4,3.8,20.7,,,0.9,2.3,1.1,5,3.8,4.6,1.7,3.1,4.6,1.9,2.7,3.8,4.2,35.4,261
Mordovians,0,1,42.2,,,4.9,7.8,2,7.9,6.9,0,2,15.7,2,0,5.9,0,0,1.7,102
North Ossetians,0.7,3,26.1,3.5,0.7,1.3,16.1,4.3,2.3,3.6,3.3,0,6.9,5.6,2.3,1.3,2.3,3,18,305
Tatars,0,0.9,30.7,,,3.9,7.5,2.6,9.2,0.9,2.2,7,10.5,3.1,5.7,0.9,1.8,0,13.1,228
Udmurts,0,0,21.8,,,0,2,14.9,23.8,9.9,0,4,8.9,2,0,0,0,0,12.7,101
Saudi Arabia,10.3,0.8,9,,,0,19.4,2.3,4.2,1.3,2.5,0.6,0.8,5,4.2,1,1.1,2.9,34.6,525
Scotland,0,0.2,44.1,25,3.1,3,12.7,2.2,5.9,1.2,1.1,2.8,8.1,2.4,6.9,4.1,0.6,2.5,2.4,1853
Serbia,0.5,0.9,41,,,5.1,6.8,3.4,1.7,1.7,0.9,6.8,9.4,1.5,4.3,3.4,3.4,0,9.2,117
Slovakia,0.3,1.9,43,10,5,3.2,9.6,1.2,8.1,0.9,0.9,5.5,11.1,1.2,3.8,2.9,2,1,4.1,581
