,X1,X2,X3,X4,X5
X1,1.0,-0.19,0.32,0.39,-0.45
X2,-0.19,1.0,-0.43,-0.36,0.04
X3,0.32,-0.43,1.0,0.73,-0.36
X4,0.39,-0.36,0.73,1.0,-0.67
X5,-0.45,0.04,-0.36,-0.67,1.0
