CountryID,Country,Continent
654,Saint Helena,Africa
659,"Saint Kitts and Nevis, Federation of",North_America
660,Anguilla,North_America
662,Saint Lucia,North_America
663,Saint Martin,North_America
666,Saint Pierre and Miquelon,North_America
670,Saint Vincent and the Grenadines,North_America
674,"San Marino, Republic of",Europe
678,"Sao Tome and Principe, Democratic Republic of",Africa
682,"Saudi Arabia, Kingdom of",Asia
686,"Senegal, Republic of",Africa
688,"Serbia, Republic of",Europe
690,"Seychelles, Republic of",Africa
694,"Sierra Leone, Republic of",Africa
702,"Singapore, Republic of",Asia
703,Slovakia (Slovak Republic),Europe
704,"Vietnam, Socialist Republic of",Asia
705,"Slovenia, Republic of",Europe
706,"Somalia, Somali Republic",Africa
710,"South Africa, Republic of",Africa
716,"Zimbabwe, Republic of",Africa
724,"Spain, Kingdom of",Europe
728,South Sudan,Africa
732,Western Sahara,Africa
736,"Sudan, Republic of",Africa
740,"Suriname, Republic of",South_America
744,Svalbard & Jan Mayen Islands,Europe
748,"Swaziland, Kingdom of",Africa
752,"Sweden, Kingdom of",Europe
756,"Switzerland, Swiss Confederation",Europe
760,Syrian Arab Republic,Asia
762,"Tajikistan, Republic of",Asia
764,"Thailand, Kingdom of",Asia
768,"Togo, Togolese Republic",Africa
772,Tokelau,Oceania
776,"Tonga, Kingdom of",Oceania
780,"Trinidad and Tobago, Republic of",North_America
784,United Arab Emirates,Asia
788,"Tunisia, Tunisian Republic",Africa
792,"Turkey, Republic of",Europe
795,Turkmenistan,Asia
796,Turks and Caicos Islands,North_America
798,Tuvalu,Oceania
800,"Uganda, Republic of",Africa
804,Ukraine,Europe
807,"Macedonia, The Former Yugoslav Republic of",Europe
818,"Egypt, Arab Republic of",Africa
826,United Kingdom of Great Britain & Northern Ireland,Europe
831,"Guernsey, Bailiwick of",Europe
832,"Jersey, Bailiwick of",Europe
833,Isle of Man,Europe
834,"Tanzania, United Republic of",Africa
840,United States of America,North_America
850,United States Virgin Islands,North_America
854,Burkina Faso,Africa
858,"Uruguay, Eastern Republic of",South_America
860,"Uzbekistan, Republic of",Asia
862,"Venezuela, Bolivarian Republic of",South_America
876,Wallis and Futuna,Oceania
882,"Samoa, Independent State of",Oceania
887,Yemen,Asia
894,"Zambia, Republic of",Africa
