CountryId,Country,Air_quality_Carbon_Monoxide,Air_quality_Ozone,Air_quality_Nitrogen_dioxide,Air_quality_Sulphur_dioxide,Air_quality_PM2.5,Air_quality_PM10
591,Panama,472.831,33.0735,10.6469,10.5124,4.0938,5.315
598,Papua New Guinea,245.1602,22.4124,10.2664,9.3858,7.9814,10.5292
600,Paraguay,432.9708,31.6549,0.4204,0.1097,7.1593,7.3204
604,Peru,271.9536,50.5045,7.5679,4.2259,6.4562,19.0411
608,Philippines,822.4195,25.6018,16.9664,7.085,30.1425,40.7177
616,Poland,353.6106,35.6522,14.9425,11.5212,13.9628,17.7478
620,Portugal,283.6832,63.0956,10.5796,2.4062,8.1265,13.3903
634,Qatar,373.4796,59.7124,57.3062,26.9301,52.5513,105.0549
642,Romania,401.0513,33.6805,14.4009,1.3478,16.215,22.2212
643,Russia,291.3146,27.9518,15.2496,8.3,4.9885,6.7292
646,Rwanda,616.977,11.0558,5.1646,0.7248,21.4655,36.0442
659,Saint Kitts and Nevis,215.6212,51.5469,0.7779,0.4619,2.6779,7.0416
662,Saint Lucia,220.1239,44.7478,0.4619,0.4053,2.7425,6.908
670,Saint Vincent and the Grenadines,231.4416,47.0407,0.4726,0.554,3.2425,8.3566
16,Samoa,197.1658,38.1919,0.364,0.3495,2.6324,6.3685
674,San Marino,370.8628,67.1106,8.8752,1.1637,15.4327,18.7655
682,Saudi Arabia,497.6283,43.6345,69.4372,57.2239,44.7885,129.8327
686,Senegal,231.5584,63.2319,1.4903,1.2053,58.2177,212.346
688,Serbia,297.2372,35.1018,14.8442,3.8611,15.5885,21.7
90,Seychelles Islands,249.9611,38.8504,0.4796,0.7159,3.0442,7.0841
694,Sierra Leone,340.5142,33.8717,0.8071,0.331,18.5832,40.8398
702,Singapore,1326.1398,5.3708,30.0336,17.608,32.1018,36.431
703,Slovakia,300.5894,40.2628,13.9637,2.4097,7.8062,9.5867
705,Slovenia,467.8195,19.808,23.6106,1.5522,21.8221,30.1177
90,Solomon Islands,205.7257,26.3619,1.2947,0.7885,1.3,1.969
706,Somalia,355.3841,37.9239,0.9442,0.4681,8.3779,20.6487
710,South Africa,664.3858,44.1558,18.1363,23.5832,29.7018,41.6805
10,South Korea,928.6991,13.2212,50.3814,34.0929,39.8027,47.7619
724,Spain,615.5883,24.5495,37.1577,2.3135,15.0622,19.1108
144,Sri Lanka,713.069,30.0283,15.523,5.8664,19.1575,22.0389
728,Sudan,284.4624,53.8208,2.1721,1.1381,30.5912,116.4071
740,Suriname,283.3699,34.7434,0.0434,0.131,3.1301,9.0991
748,Swaziland,294.5327,35.6549,2.0929,2.6257,10.9655,14.6
