Localitate,F1,F2
Municipiul Alba Iulia,2.648538918400156,1.8533671558905145
Ciugud,1.0692916693827836,0.4635256014999625
Oras Abrud,1.2696770544950353,-0.5806498637219113
Municipiul Aiud,1.8206267277891406,1.6333156608811537
Municipiul Blaj,2.642193735775354,-1.0950436508595385
Oras Campeni,0.7844217163583805,0.9418560523350733
Oras Cugir,1.4795216734585548,-0.4499814093466099
Oras Ocna Mures,0.3534529519724683,1.3710924131184
Municipiul Sebes,2.2117959992786416,1.0927987768372804
Oras Zlatna,0.6866083724245231,0.8305943355062784
Albac,0.1757330604358024,-0.3974308323255788
Almasu Mare,-0.39279697842331734,-0.1568281370951015
Arieseni,-0.4904902507792976,1.4625965400734469
Avram Iancu,-0.8117516837839455,0.49887129219817017
Oras Baia De Aries,-0.8361247475755847,1.08707987963177
Berghin,-0.519504148475237,0.7079413544195795
Bistra,0.656889705216083,0.13774707121778035
Blandiana,1.448742531470993,-3.7941592818303644
Bucium,0.28984178506697195,-0.8447339510507417
Cenade,-0.3206217070835548,-1.9265983379935183
Cergau,0.25562596632812695,-0.8371829271097382
Ceru-Bacainti,-1.3815539481541281,-1.7174706339136199
Cetatea De Balta,-0.9210312689657337,-0.45858415409325826
Ciuruleasa,0.30499242799740145,-0.12431384595656525
Calnic,-2.038631951187649,0.9696765449665046
Cricau,0.2762022204369541,0.3256658062956243
Craciunelu De Jos,0.5667370130351639,-0.8570795120538273
Daia Romana,0.30709246246203303,0.4560169299861251
Dostat,-1.3926803069257625,0.01163892764165317
Farau,-1.116963133196087,-0.21513916404964445
Galda De Jos,0.13896186096632723,-0.5122023887171394
Garbova,0.6291518011234911,-0.8328615985788439
Garda De Sus,0.4888536582487434,-1.1500490859961257
Hoparta,0.3722703339827399,-1.4463058898502716
Horea,0.6201775727171934,0.014529812068187178
Ighiu,0.4060321142474623,0.5099054675264334
Intregalde,-1.3435351761118615,-1.762884170165142
Jidvei,-0.6362467624743019,-0.938062056854769
Livezile,-0.644124073082248,0.1742130297848706
Lopadea Noua,-0.20455499975669725,0.9197773678186156
Lunca Muresului,0.13258073002866463,0.19819325673759086
Lupsa,0.47634671069398987,0.6527084052614466
Metes,0.4403358131115474,-0.032657484319889525
Mihalt,0.6394246295962822,-0.5082964200817077
Miraslau,0.05050150485429619,0.5553075788333343
Mogos,-0.6946922803645931,-1.0024371849067704
Noslac,-0.25701405434018454,-0.22470653050286984
Ocolis,-1.5238572548688123,0.1632992236767083
Ohaba,-2.4429689714004073,0.5376641469818468
Pianu,-0.31321461645554816,1.7418420192039623
Poiana Vadului,-0.1061347810400449,-1.3416236783388409
Ponor,-0.4565752972844781,-2.0826083051232427
Posaga,-0.75109963160409,0.20822727149095285
Radesti,-0.10338706903735559,-0.7291948676862136
Rametea,0.07602937709357262,-0.9385302527729737
Ramet,-0.9003387246898505,-0.5910655671777565
Rosia Montana,-1.0010889228924842,1.6057041047385372
Rosia De Secas,0.34650548206632814,-1.468024209445778
Salciua,-0.5070808955319732,-0.30607291551097454
Salistea,0.10769745383580978,0.08090778896355455
Sasciori,-0.2720394627198145,0.9374952339565567
Scarisoara,-1.985721625078662,1.4466574567440442
Sancel,0.06906951714940447,0.7599507721209361
Santimbru,0.21078431118613444,0.15354347393002374
Sohodol,-0.515037946274088,0.9329464544733737
Stremt,0.6011819108278382,-0.4922118442163536
Sibot,0.17823920114826436,0.49495550870156513
Sona,0.012911296072496465,0.288470464008314
Spring,-0.5722011255002201,0.6420182764662565
Sugag,0.09711363464480491,0.7694200112805165
Oras Teius,0.9504797696276633,0.8765289906159673
Unirea,0.534410743467606,0.41484024037732786
Vadu Motilor,1.0660926625545346,-0.8590584622051023
Valea Lunga,-0.14264953420145832,-0.10471852858779584
Vidra,-0.34039740372167704,0.1888173130120808
Vintu De Jos,0.05524549531881548,1.2886875606212578
Cut,-1.0601593483852774,-0.10013596335941684
Bucerdea Granoasa,-0.860695225947919,0.6938176678804704
Municipiul Arad,2.818013512421063,1.8625963736845146
Fantanele,0.34082815389818955,0.837690022313895
Livada,0.6424007050064764,1.489725535143442
Sofronea,0.9506129425922389,0.3634495897168301
Vladimirescu,1.7862300129950521,1.791498708715004
Oras Chisineu-Cris,1.267628646262612,-0.28272941571281734
Oras Curtici,1.0230299905044078,-0.5044055220101116
Oras Ineu,0.3268640364607062,2.133788787654218
