Variabila,KMO
2008,0.9639857708102124
2009,0.9638411574527006
2010,0.970492582356419
2011,0.9589945809818713
2012,0.965713289475125
2013,0.9663571674921178
2014,0.9661081020331133
2015,0.9697063649607062
2016,0.9651380569045303
2017,0.9622053306431928
2018,0.9596723149408197
2019,0.9598956962523106
2020,0.942875093117567
2021,0.9586582531585282
KMO_Total,0.962426660220389
