Siruta,Localitate,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47818,Murgesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09915,0.17117,0.16203,0.16436,0.0702,0.0
47854,Naeni,0.21952,0.26315,0.31775,0.29915,0.2949,0.299,0.24928,0.27812,0.27213,0.27559,0.21114,0.21601,0.21484,0.20209
48165,Pardosi,0.27042,0.26919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48487,Pietroasele,0.35151,0.35853,0.35746,0.35791,0.36876,0.31411,0.30636,0.32991,0.32818,0.3598,0.31878,0.32193,0.35643,0.33062
48922,Racoviteni,0.17889,0.18747,0.19946,0.21604,0.26141,0.26671,0.26068,0.247,0.0,0.17117,0.20761,0.21061,0.19834,0.19513
49019,Robeasca,0.10791,0.14787,0.17121,0.21604,0.09922,0.21599,0.07583,0.08759,0.14023,0.1489,0.07927,0.07549,0.08923,0.10785
49625,Stalpu,0.33377,0.35866,0.34114,0.34914,0.33433,0.33024,0.30198,0.25611,0.20066,0.16571,0.14975,0.18718,0.40854,0.22736
49643,Tisau,0.19593,0.17923,0.17985,0.24146,0.25876,0.18963,0.19932,0.2102,0.20042,0.20955,0.19991,0.20239,0.19292,0.18923
49849,Tintesti,0.28039,0.20856,0.23235,0.2943,0.29499,0.25538,0.26928,0.26724,0.23695,0.22216,0.20727,0.20283,0.22627,0.20431
50479,Ziduri,0.25504,0.24028,0.23409,0.20907,0.19609,0.20005,0.22765,0.25467,0.27127,0.27673,0.28512,0.22273,0.24478,0.23714
51010,Municipiul Caransebes,0.61572,0.61901,0.62086,0.62468,0.6361,0.63127,0.62832,0.62772,0.62679,0.63135,0.63751,0.6352,0.62833,0.62179
51207,Oras Otelu Rosu,0.568,0.56364,0.5629,0.57755,0.57309,0.56502,0.54754,0.55776,0.5532,0.53166,0.53643,0.53037,0.51772,0.54162
51699,Buchin,0.16137,0.18833,0.09348,0.15586,0.23233,0.09151,0.10045,0.07434,0.05614,0.05468,0.05669,0.05197,0.04692,0.06138
51804,Carasova,0.28704,0.27135,0.32947,0.31857,0.3494,0.3406,0.29295,0.31496,0.33224,0.28793,0.28024,0.28143,0.2809,0.28783
52035,Ciudanovita,0.16187,0.0,0.0,0.05872,0.0,0.07387,0.12493,0.09954,0.10483,0.0,0.0,0.0,0.0,0.0
52721,Domasnea,0.1738,0.17691,0.21093,0.21065,0.20413,0.14026,0.21285,0.20383,0.2543,0.22663,0.24473,0.19017,0.18206,0.16961
52785,Farliug,0.33346,0.30194,0.2811,0.28178,0.21623,0.35124,0.35602,0.35484,0.28409,0.31372,0.34359,0.21752,0.2167,0.24491
53069,Lapusnicel,0.10478,0.15844,0.06111,0.0786,0.10865,0.12047,0.13664,0.19717,0.1934,0.18146,0.16478,0.14685,0.1504,0.12607
53345,Naidas,0.14016,0.13206,0.22284,0.24548,0.2435,0.16199,0.18655,0.10637,0.07794,0.15758,0.14809,0.19358,0.20756,0.15176
53372,Obreja,0.34093,0.3589,0.36723,0.34539,0.37125,0.32409,0.29623,0.32143,0.34982,0.35727,0.35763,0.23092,0.20509,0.19879
53513,Pojejena,0.29485,0.315,0.30835,0.3432,0.32482,0.36409,0.35827,0.35056,0.33693,0.31241,0.33747,0.34886,0.32185,0.31415
53700,Eftimie Murgu,0.13308,0.17405,0.21163,0.23964,0.22607,0.30539,0.28679,0.3051,0.2633,0.30597,0.25682,0.29275,0.27049,0.24954
53728,Rusca Montana,0.31736,0.28857,0.23677,0.24266,0.23587,0.24054,0.25784,0.25544,0.26401,0.23641,0.21425,0.2163,0.22713,0.20604
54485,Valiug,0.35509,0.36718,0.35333,0.35525,0.33669,0.34129,0.28152,0.2814,0.29202,0.27723,0.26372,0.23423,0.22876,0.22091
54573,Vrani,0.13388,0.11447,0.07022,0.14601,0.15654,0.18108,0.23166,0.21104,0.16252,0.1532,0.2223,0.0702,0.0,0.0
54975,Municipiul Cluj-Napoca,0.77312,0.76426,0.77107,0.76397,0.76171,0.7509,0.7397,0.73856,0.73429,0.73015,0.7282,0.72334,0.70854,0.69881
55008,Municipiul Dej,0.65028,0.65576,0.66419,0.67056,0.66109,0.65636,0.6534,0.65021,0.64514,0.63493,0.6382,0.63739,0.64725,0.63966
55277,Mihai Viteazu,0.4187,0.41857,0.44528,0.43926,0.44264,0.41858,0.42092,0.41668,0.45492,0.39364,0.40185,0.40527,0.3897,0.38292
55623,Alunis,0.2074,0.16415,0.1644,0.0,0.0,0.13223,0.27034,0.18062,0.27586,0.19833,0.19255,0.23417,0.20059,0.16409
55918,Baisoara,0.35279,0.31667,0.32474,0.31663,0.30897,0.34241,0.38482,0.36108,0.29817,0.33568,0.38419,0.31039,0.33057,0.29736
57225,Ciurila,0.39513,0.44544,0.4262,0.40991,0.42596,0.43653,0.45909,0.4614,0.46528,0.47627,0.4964,0.48991,0.47732,0.44661
57314,Catcau,0.21683,0.21902,0.23836,0.2044,0.24164,0.20609,0.25459,0.24984,0.22574,0.19879,0.21939,0.24217,0.25363,0.22731
58142,Iclod,0.34475,0.33553,0.32175,0.32491,0.31039,0.3432,0.37377,0.35569,0.35139,0.32606,0.33251,0.31647,0.3156,0.30647
58259,Jucu,0.39546,0.39276,0.35128,0.38845,0.35996,0.3385,0.2733,0.30253,0.29282,0.26503,0.24902,0.26994,0.22492,0.20706
58721,Moldovenesti,0.3521,0.31117,0.34021,0.30841,0.33415,0.33864,0.34514,0.36071,0.36707,0.36898,0.33466,0.32349,0.33335,0.32686
59130,Recea-Cristur,0.19316,0.14579,0.15184,0.26097,0.23513,0.1878,0.28494,0.19044,0.23917,0.23001,0.25126,0.36547,0.3429,0.20072
59826,Taga,0.27892,0.32533,0.31688,0.30059,0.23404,0.23796,0.2529,0.2597,0.22457,0.23698,0.25899,0.26466,0.27478,0.22169
60598,23-Aug,0.43867,0.42879,0.39206,0.40057,0.42821,0.42926,0.43439,0.43252,0.42513,0.39423,0.42807,0.4092,0.403,0.39944
60847,Municipiul Medgidia,0.57447,0.57404,0.60123,0.59787,0.61439,0.61986,0.62156,0.61672,0.62023,0.61649,0.60563,0.5977,0.60057,0.5987
60883,Adamclisi,0.31834,0.34597,0.33304,0.31054,0.29908,0.32004,0.33954,0.30212,0.29804,0.30522,0.31161,0.31944,0.31338,0.3093
61452,Comana,0.19504,0.16083,0.21698,0.1761,0.17201,0.17396,0.22873,0.2354,0.21341,0.20809,0.19774,0.14483,0.16923,0.16265
61675,Deleni,0.31995,0.28718,0.30218,0.28072,0.32278,0.27564,0.29629,0.30498,0.33174,0.32475,0.30368,0.30074,0.29563,0.29176
62137,Mereni,0.27304,0.27876,0.29499,0.31185,0.25086,0.2501,0.27257,0.33994,0.27821,0.25154,0.23843,0.21251,0.21853,0.23681
62360,Oras Murfatlar,0.43763,0.43487,0.45319,0.44791,0.43815,0.44748,0.44176,0.45961,0.44854,0.44074,0.4445,0.44065,0.44428,0.43537
62397,Oras Negru Voda,0.39223,0.38073,0.36834,0.38043,0.37715,0.3459,0.34037,0.35849,0.32453,0.28886,0.30411,0.32016,0.32346,0.32032
62440,Nicolae Balcescu,0.40918,0.42681,0.43371,0.40621,0.3858,0.3614,0.32671,0.33321,0.39383,0.41771,0.41605,0.40352,0.39141,0.39014
62486,Oltina,0.32919,0.34632,0.30189,0.32949,0.30909,0.29513,0.28786,0.2833,0.26751,0.253,0.26361,0.2466,0.23695,0.27161
62823,Saraiu,0.21423,0.22876,0.22963,0.27881,0.19278,0.19064,0.1664,0.21429,0.23425,0.20313,0.20791,0.22117,0.23746,0.2039
63161,Dumbraveni,0.10791,0.10786,0.0,0.0992,0.0,0.0,0.0,0.0,0.1614,0.0702,0.0992,0.0,0.0,0.0
63170,Vulturu,0.18684,0.19837,0.23504,0.22434,0.18929,0.21376,0.20306,0.18802,0.17059,0.17849,0.17329,0.1252,0.11493,0.13327
63189,Tortoman,0.3157,0.29418,0.286,0.29717,0.26171,0.2854,0.25706,0.22249,0.24555,0.24548,0.25413,0.27639,0.26013,0.26863
