Indicativ,Judet,Regiunea,Macroregiunea,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
ms,Mures,c,1,8.8,15.5,7.5,111.937,38.373,2.7,2975,157.737,39.521,1503,180.423,782.625,580.277,7761.387,92.202,825.264,22.977,42604.281,46.422,3281.61,1488.348,13.651,1.588,21.366,118.863,1365.733,3281.371,406.942,63.999,53.122,1901.162051
nt,Neamt,ne,2,6.9,16.2,8.8,202.446,204.264,5,2590,115.703,37.871,1472,157.508,531.677,187.45,6904.146,68.234,754.888,8.552,33134.144,18.631,2315.5,1570.607,51.857,2.744,29.056,148.142,855.561,3430.679,617.336,58.899,38.173,907.6609174
ot,Olt,sv,4,6.9,18.2,6.8,102.015,28.054,5.9,2864,136.103,38.706,1365,146.312,515.173,191.022,5522.072,100.739,36.317,9.564,36288.609,16.322,5112.254,1463.778,224.735,0.25,22.645,296.862,144.009,3274.666,420.81,51.143,37.052,4121.330984
ph,Prahova,s,3,7.3,17.5,4.4,117.308,34.815,2.9,3021,140.003,15.815,1698,151.494,617.859,169.46,5701.87,47.526,851.139,13.607,51349.25,21.113,1745.298,898.861,9.994,0.721,22.88,80.955,1233.411,3105.653,400.72,93.784,47.252,3476.523045
sj,Salaj,nv,1,9.6,15.5,9,101,37.934,5.2,2677,243.042,51.013,1510,169.983,617.852,211.008,9040.77,117.487,388.218,17.639,43597.671,11.854,4628.578,1807.262,12.077,1.135,23.426,180.661,283.899,4320.221,681.391,72.323,50.367,3016.591431
sm,Satu Mare,nv,1,7.5,14.2,5.2,153.639,49.707,3.7,2656,214.449,34.558,1327,158.456,543.459,187.68,6422.985,92.231,101.54,19.452,42012.604,9.941,5220.782,1272.133,46.552,0.52,24.651,231.663,402.765,3431.863,464.531,68.992,56.674,2959.734657
sb,Sibiu,c,1,8.3,12.8,6.2,243.529,70.541,2.8,3165,238.128,24.114,1614,200.843,696.935,365.916,9780.475,323.589,2240.789,18.425,59045.328,471.354,1639.082,1357.304,7.939,1.156,25.901,300.859,1825.816,3920.884,541.147,83.224,83.714,7685.464312
sv,Suceava,ne,2,10.6,13.2,8.5,167.4,259.278,5.1,2646,155.536,39.432,1390,199.291,494.503,148.64,7602.791,34.644,656.739,10.002,32475.916,110.798,3409.562,2075.829,32.334,3.384,23.336,304.495,1330.548,3595.893,526.252,40.146,32.792,863.0382775
tr,Teleorman,s,3,6.2,21.7,2.7,130.008,45.247,6.6,2539,205.797,69.108,1381,125.058,577.044,147.202,4242.144,6.033,5.936,12.398,32124.446,9.351,5974.418,1873.379,48.188,0.215,21.421,373.736,22.509,3270.421,588.507,35.146,28.915,475.5291584
tm,Timis,v,4,8.8,13.4,4.2,237.692,98.223,1.3,3536,161.297,5.749,1576,203.488,792.449,781.536,7072.694,49.991,86.043,25.471,70067.778,255.551,3413.149,2258.193,79.218,0.442,26.19,220.259,581.025,3392.749,338.325,90.625,66.922,10320.34742
tl,Tulcea,se,2,7,16.3,11.6,195.521,38.794,3,2821,248.493,25.969,1422,146.33,429.835,173.279,7567.398,89.557,824.678,14.664,40969.327,112.761,3329.256,2043.811,56.479,0.924,23.227,368.799,1477.075,5544.406,1052.604,79.139,39.299,2851.016397
vl,Valcea,sv,4,6.3,11.4,3.2,92.186,29.774,3.6,2606,247.43,22.184,1536,142.047,694.258,227.316,6441.347,58.049,791.94,17.2,43433.039,37.791,2994.271,2093.314,11.841,1.638,22.824,275.985,3002.837,4010.948,671.641,73.022,40.56,926.4545054
vs,Vaslui,ne,2,8.4,13.4,4,404.977,1677.607,7.4,2673,152.536,68.742,1314,158.923,527.087,146.801,6182.701,23.378,226.709,12.662,24929.015,36.231,2436.661,1587.909,17.117,0.508,19.267,382.165,161.827,3840.167,801.634,37.578,32.403,479.7377447
vn,Vrancea,se,2,7.6,15.9,5.5,140.99,51.696,4.2,2561,130.355,47.231,1297,155.236,415.763,166.681,4654.628,86.254,389.752,24.883,34237.339,12.219,3341.083,1866.091,59.78,1.604,24.854,230.91,157.163,3559.836,542.654,71.601,40.785,767.8649756
