,Domeniu,Corporatie,Parteneri,Perioada,Valoare investitie
Domeniu,565.0,250.42815527726242,61.01881813707395,56.43398712543972,15.509123883928572
Corporatie,250.42815527726242,5085.000000000001,649.9158637174626,214.98254536015423,99.56978115583355
Parteneri,61.01881813707395,649.9158637174626,1356.0,63.04023346470572,18.052369289527824
Perioada,56.43398712543972,214.98254536015423,63.04023346470572,678.0,12.503445565057387
Valoare investitie,15.509123883928572,99.56978115583355,18.052369289527824,12.503445565057387,225.99999999999997
