Factor,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
F1,3.5369747395750357,3.5369747395750357,20.805733762206092,20.805733762206092
F2,2.3237559424158376,5.860730681990873,13.669152602446102,34.47488636465219
F3,2.089352781443686,7.950083463434559,12.290310479080507,46.765196843732696
F4,1.4920498564232227,9.442133319857781,8.776763861313075,55.54196070504578
F5,1.2216425815895071,10.663775901447288,7.186132832879453,62.72809353792523
F6,0.9937001272492495,11.657476028696538,5.845294866172056,68.57338840409729
F7,0.8692286213940603,12.526704650090597,5.11310953761212,73.6864979417094
F8,0.6451297934766433,13.17183444356724,3.7948811380979017,77.48137907980731
F9,0.5681144800784985,13.73994892364574,3.341849882814697,80.82322896262201
F10,0.4750062355241733,14.214955159169913,2.794154326612784,83.6173832892348
F11,0.34248638285390853,14.55744154202382,2.0146257814935797,85.63200907072837
F12,0.25009153861766437,14.807533080641484,1.471126697750967,87.10313576847935
F13,0.191441681191784,14.998974761833267,1.126127536422259,88.22926330490161
F14,0.12856124089325965,15.127536002726528,0.7562425934897626,88.98550589839137
F15,0.103274880077554,15.230810882804082,0.6074992945738471,89.59300519296521
F16,0.06429534722619908,15.295106230030282,0.37820792485999455,89.97121311782522
F17,0.0,15.295106230030282,0.0,89.97121311782522
