Indicativ,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
ab,0.14073676249198996,0.2693846956818643,-0.5637647821342396,-1.2593109713250858,-0.45642452092043934,0.41989131426412524,0.9717355610824179,-0.32470787514328303,-0.6018201565428599,-0.48033720283407144,-0.2856720004943368,1.905985529289246,1.8025764285376114,-0.7416871034930591,-0.3264843130348925,0.43732576540462637,0.0
ar,1.2224839773662493,-0.6004527206115317,-0.9179186286132339,0.7999790987211844,-0.4933695253331933,1.2634602386553964,0.6719190177457085,-0.19834721720204962,0.03937354889677044,-0.38021667934369413,0.13635477150983552,-0.012759000236738876,-0.3795300807992551,-0.10512417909017834,0.6572701067948556,0.9964434348930986,0.0
ag,2.1765171767188676,-0.4823341240681765,-0.726961119167713,0.97374327984549,-0.055095267277648706,-0.25410560028034496,-0.8622787056874105,1.542214216601644,-0.8999051435393602,-0.5920049030161132,0.001345983901885829,0.8748434362337646,-0.007341719008309586,-0.3971017617054648,0.18334641624512074,0.3402823682558953,0.0
bc,-0.46388464049352107,0.3285914249239549,0.8340194051546662,1.313998401434488,0.4240637637772772,-1.0039150354600712,-0.6444147030325681,-1.479600933930793,0.7477482982095608,-0.3549522587555766,0.6096236885517382,1.7144952885677334,0.7411835915619829,2.5719682837144675,0.17278718595774653,-1.1458137770171033,0.0
bh,-1.1375708637572026,-0.8118287752034754,-0.10101069320261653,-0.4537967860048629,-0.4793730720257613,0.24415467326603427,0.8990015786860133,1.4238251658839047,-0.5434728213051457,0.027952233637255762,-0.9660410909367223,0.40086201416078293,-0.8472442905509362,0.12365348311685277,2.515626488499285,0.05545589243320644,0.0
bn,-0.342109753749905,-0.7876030181025008,-0.42274432674841517,0.0730780718658631,0.16066145109042193,-1.1399856109794584,2.127034712161355,1.752022870115479,-0.6257738527144922,-1.0160481911397916,-0.5928334142550454,1.418543141221251,1.4625723995029474,-0.43918067648252407,-0.7342451345799631,0.6281891413554749,0.0
bt,2.278752482930592,0.015169076390259474,0.9912339166244213,-1.2637855946673697,0.005960175352095452,0.31783357334945467,0.013536235706510368,0.07822187710148862,1.05012545494653,0.09170842426217626,-1.2578493710048113,-0.24512731874113244,-0.47172396022827984,0.29123175616220837,-0.4451704282477475,1.0343073968465926,0.0
br,0.18339471562535903,0.39435940990747587,-0.2603762767020181,-0.3398454267755237,-0.49448787616689527,0.937020446091195,1.0166055416431263,1.5329861945808796,0.26386054049265073,1.7145642759447133,1.8450341304747135,-0.22241165856898315,0.6606163778631419,0.8474104325835681,0.9105157085914171,0.1887961193666087,0.0
bv,-0.08182004156851076,-0.8790247863561415,-0.6517641703724917,-0.9719539864412586,-0.17437710224003541,0.012579082503195331,-0.16558467081705283,-1.2578735671090637,-0.008322355828918816,0.3263413186852648,-0.4619420585346639,0.3621574510667886,-0.5568720257778533,-0.5649091534379402,1.476374935396825,-0.5124558071414118,0.0
bz,-0.28030697175861585,0.9569842317346341,0.5074998797240642,-1.31881159836693,1.0667861212732443,1.1019264713162615,-0.7018015070655779,-0.19439197639531428,-1.9474273382035245,1.174658193611819,0.8222535603315921,-0.6591212559531692,-0.5695510743059399,0.19340466489862976,0.37977910978623347,-0.4371797547665135,0.0
