No.,Z1,Z2
71,0.5429980314166597,-0.03480466831827558
144,3.2383720325996483,0.8952322903529883
127,2.3607559894469907,-1.5141881266057844
170,-1.8819973876581895,-0.02523681666793831
88,1.1409872787606483,-0.5151476410538642
69,-0.4802023267658963,-0.24939907060727523
107,2.1439425322313808,-0.006756801706532478
207,-1.5725833962177802,-0.903288075677745
200,-1.0839658126819924,0.179605830412207
6,-2.204503727198461,0.15869125163491105
201,-2.046815666818375,1.2028359671975235
187,-0.69633996993574,-0.5238706028319493
112,1.2657157117566207,-0.395186314659064
92,0.7975390845999638,0.36264835983364563
84,1.0019141739666217,-0.9184456640346582
133,1.933196107966845,2.3049391418784353
13,-1.4663715212860222,0.696898567051859
123,1.413864226460611,0.8759249471423065
225,-1.81724877926775,1.1246302337782508
198,-1.6136061518826421,-0.37450872507683974
139,3.891496462609139,0.7514143478850897
30,-2.9966415819375953,0.7772251520462348
223,-1.477029724705335,-1.4002747806814095
57,2.4717324438667876,0.20664897057654796
103,1.3850103868275758,0.2727207563648675
134,4.279127061267959,0.28164135088411824
40,-1.720349943829032,2.489713524467062
54,-0.8811914099435274,-0.7619736533059703
51,-0.19009185078713764,0.9590323872358109
181,-1.3486129066327845,0.5423369267824295
213,-0.9020651010946914,-0.8346811190331905
49,-0.3605808066672459,-0.9108432708991185
29,-1.6622500647755953,1.276554582402219
14,-1.6071349975965694,0.0790966255225674
1,-1.0940302220105869,1.3852649812890805
102,2.200504281593048,-0.1361365926716251
91,4.152110085482829,1.3255526535885673
192,-1.9695965555319408,-0.2964809499184713
189,0.30033703329318356,-1.2728792957840935
154,-1.3274529034318159,-0.5409359112151786
153,-2.9620533386192776,-0.26759531987885976
214,-1.2247953825929985,-0.6062573396378532
221,-0.55293746886363,-1.9674782308431054
17,-2.0568561617154097,0.6324697258682763
93,1.0415798263593028,1.4696921822128588
58,1.5368407038487408,-1.8534904628355928
224,-2.6869224211575515,0.07151868036055448
186,-0.9758164429102754,-2.292152189730287
45,-2.4602065681346925,0.7317596710902363
15,-1.2262003880925985,-0.11443869175471422
90,3.0952324824521846,-1.6756736715108718
109,4.288196984415506,-0.17877977141837423
212,-1.2269156851385536,-0.6365979318562613
70,0.023155173743975854,0.0823709849007901
206,-1.4148352075422475,-1.7943361979335466
73,1.5553675291548545,3.0973076554418704
114,3.557034817398778,-0.16265693804083303
78,2.5302882784854788,-1.0397505260813444
43,-2.5481803286434657,1.0605368898551875
124,1.933653514166179,0.751789684036052
210,-0.7401246590576184,-0.5666336813660073
143,2.3710266769265553,-0.5935026162630259
115,0.624222250520241,0.7531058070092791
68,0.1140032923997103,-0.242676933747347
35,-1.7391458375502498,-0.018917119421260273
120,1.6579259932756643,-0.2538591812525909
142,0.38766242984450644,-0.9581472196286716
234,-1.8652459744418937,-0.1639515990789434
151,-2.0905650843348007,-0.35394994615862385
164,-1.3753344002820183,-2.527654377590569
34,-1.593323209993216,0.4337010415376651
191,-1.533406011464793,-2.745009104012558
161,-0.5711717418288886,-0.5937119600302099
56,3.630790443099404,0.28405421709213474
2,-1.5278242607735057,1.001403325788049
138,2.8003060918093214,1.1716420003087193
228,-1.976160703422853,0.8009470962729217
125,1.6461564846634162,0.8501016623975295
24,-0.8870075097457875,0.6546307035839711
65,0.465997763429162,1.4772911192363678
89,3.998768381815102,1.497339423446903
37,-1.7199154044116838,1.279901854336511
8,-0.6349434485227481,1.9971914539357312
16,-1.817121185142264,-0.3578429018549679
53,3.4037827925845594,1.0219894396871458
167,-2.0267488185667393,-0.16811339041788637
80,1.517824128478812,-0.4032315515938012
122,-0.9132493858621257,-1.703742646402274
156,-1.9191011915053242,-0.3772540372870249
