Regiune,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another
Bucuresti-Ilfov,96.87528254372603,0.1774683390455543,1.9568453520538056,0.015167811828225273,0.0642779256955084,0.14021579794300756,0.048764267994978315,0.021590663742457473,0.01027656306277152,0.0016304162551512508,0.016452382211071714,0.0003952524254912123,0.03996990152779884,0.025493781444183194,0.07124424969479101,0.0019762621274560617,0.008547333701247465,0.08413936007644182,0.03053324986919615,0.003310239063488903,0.01665000842381732,0.3897682980875217
Centru,64.43911388934094,30.068819150762316,4.961800578285964,0.005484130575811417,0.4215646714983492,0.007401346955973132,0.008426834787222422,0.0006687964116843192,0.0014713521057055023,0.0008917285489124255,0.0016496978154879873,0.00013375928233686383,0.0046815748817902346,0.011949162555426503,0.008917285489124255,0.0004904507019018341,0.0024522535095091703,0.0012038335410317746,0.0018726299527160937,0.006866309826625677,0.0004012778470105915,0.04373928532415448
Nord-Est,97.48028110853151,0.14675641414589594,1.766971573593328,0.2121416665518714,0.03091463428308002,0.006246998637513579,0.16838064019882756,0.00038443068538545103,0.0006407178089757517,0.00012814356179515035,0.00016017945224393792,0.0,0.0092904082301484,0.008008972612196897,0.01339100220759321,0.0,0.061989448018403975,0.0005125742471806014,0.0029152660308396704,0.026301466058454608,0.0002242512331415131,0.06436010391161426
Nord-Vest,74.95864838599768,18.3346538505429,4.6166391666081195,1.3148046697170546,0.31785817117233095,0.006578896605329962,0.004426541543092382,0.00036549425585166457,0.002071134116492766,0.2979996499377238,0.0017056398606411013,0.0,0.004913867217561268,0.015107095908535468,0.017300061443645456,0.0010964827675549937,0.0022335760079823944,0.0015025874962790655,0.0029645645196857235,0.002558459790961652,0.00016244189148962869,0.09640926259909463
Sud,95.705631503343,0.028884154723684437,4.104035351518483,0.0015449664154528885,0.007556900945149997,0.029018499629375992,0.016020630003717996,0.00023510358496022215,0.016490837173638438,0.0,0.05393947963515954,0.00010075867926866664,0.00480283037847311,0.005776830944736887,0.0014777939626071106,0.0,0.00043662094349755545,0.0006045520756119998,0.002418208302447999,0.001679311321144444,0.0019480011325275549,0.01739766528705644
Sud-Est,94.31492658584125,0.03169349614991276,2.9358517753191733,0.05128125371736547,0.010760656517742263,0.9582869034823754,0.672498998544369,0.8289068223823337,0.0009667777340159065,0.0003362705161794457,0.002227792169688828,0.00016813525808972285,0.07389544593043319,0.009205405380412326,0.005254226815303839,0.0,0.0011349129921056293,0.0018494878389869514,0.014964037969985335,0.0021016907261215355,0.024841984382756553,0.058847340331403
Sud-Vest,96.57176408682129,0.03321776530785351,3.2441668283535465,0.002082459292999991,0.013764548009829208,0.007263211680463383,0.0010666254915365806,0.0,0.055362942179755854,0.00030475014043902305,0.0035046266150487652,0.0,0.00599341942863412,0.005434710837829244,0.003758585065414618,0.02397367771453648,0.00035554183051219354,0.0009650421113902396,0.00015237507021951152,0.0008126670411707282,0.006907669849951189,0.01914846715758528
Vest,88.2772193749189,5.321426914854704,2.685050414785127,0.5707001821895746,0.8925116738131403,0.010392379860859538,0.00810253345083964,0.0008219961471866301,0.9352554734668451,0.3559243317318108,0.2939223366297336,0.3118888238468128,0.006986967251086356,0.03998424115957822,0.02260489404763233,0.10809249335504185,0.00816124746135297,0.006223685114413057,0.0018788483364265832,0.010098809808292884,0.002583416462586552,0.13016896130805422
