Siruta,Localitate,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48922,Racoviteni,0.17889,0.18747,0.19946,0.21604,0.26141,0.26671,0.26068,0.247,0.0,0.17117,0.20761,0.21061,0.19834,0.19513
50068,Valea Salciei,0.0341,0.05906,0.03413,0.06115,0.05048,0.03633,0.0,0.01753,0.0,0.0,0.0,0.03256,0.05525,0.05927
51984,Ciuchici,0.1543,0.19663,0.16203,0.16107,0.14033,0.09917,0.0,0.0,0.0,0.17117,0.20761,0.21599,0.19358,0.19225
52035,Ciudanovita,0.16187,0.0,0.0,0.05872,0.0,0.07387,0.12493,0.09954,0.10483,0.0,0.0,0.0,0.0,0.0
52062,Copacele,0.0,0.0,0.15487,0.14734,0.06393,0.10799,0.20756,0.14802,0.17971,0.17976,0.25986,0.28528,0.29434,0.29426
52856,Forotic,0.0,0.0,0.0,0.14313,0.10645,0.21107,0.19178,0.22862,0.22394,0.29144,0.24041,0.26851,0.27701,0.25827
52954,Goruia,0.21582,0.09905,0.0,0.14601,0.16974,0.08761,0.16528,0.20575,0.15642,0.23998,0.19235,0.25334,0.1399,0.23122
53327,Mehadica,0.0,0.0,0.2803,0.0,0.0,0.10799,0.10799,0.0,0.0,0.10799,0.0,0.10799,0.0,0.16195
54537,Vermes,0.0,0.0,0.0,0.0,0.08257,0.0,0.10799,0.15768,0.15327,0.0702,0.18505,0.19221,0.18098,0.22356
54573,Vrani,0.13388,0.11447,0.07022,0.14601,0.15654,0.18108,0.23166,0.21104,0.16252,0.1532,0.2223,0.0702,0.0,0.0
55623,Alunis,0.2074,0.16415,0.1644,0.0,0.0,0.13223,0.27034,0.18062,0.27586,0.19833,0.19255,0.23417,0.20059,0.16409
61005,Aliman,0.0,0.23254,0.1866,0.16381,0.20303,0.22512,0.19867,0.28391,0.22849,0.21946,0.24273,0.27435,0.32714,0.29995
61808,Garliciu,0.0991,0.0,0.0,0.17708,0.06692,0.10486,0.08761,0.08759,0.12404,0.15646,0.24153,0.27916,0.26128,0.28576
63161,Dumbraveni,0.10791,0.10786,0.0,0.0992,0.0,0.0,0.0,0.0,0.1614,0.0702,0.0992,0.0,0.0,0.0
64265,Dobarlau,0.08755,0.0,0.08764,0.14809,0.2243,0.18928,0.221,0.19935,0.27909,0.31889,0.35069,0.33702,0.32098,0.31237
65099,Valea Mare,0.0,0.0,0.14568,0.10565,0.1348,0.13294,0.13517,0.14886,0.19717,0.16789,0.14282,0.1489,0.2426,0.23722
68976,Uliesti,0.16187,0.19871,0.0,0.0,0.10805,0.03705,0.06814,0.11448,0.15988,0.23152,0.27796,0.29948,0.33448,0.34288
70968,Botosesti-Paia,0.27042,0.26919,0.2803,0.0,0.10805,0.10799,0.0,0.10797,0.16195,0.23826,0.1926,0.2642,0.2642,0.24293
70986,Brabova,0.19316,0.18747,0.25169,0.24153,0.16444,0.10486,0.2328,0.15754,0.2075,0.15758,0.0,0.13517,0.07796,0.17709
71723,Cernatesti,0.0,0.10786,0.10802,0.1031,0.15188,0.09917,0.14026,0.15499,0.22764,0.24328,0.24745,0.24328,0.2744,0.20844
72604,Gogosu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10488,0.1518,0.1489,0.09915
72882,Izvoare,0.0,0.10786,0.0992,0.10802,0.17125,0.17117,0.10799,0.15642,0.10797,0.12838,0.16755,0.13399,0.2048,0.21546
74108,Seaca De Camp,0.10791,0.14787,0.20761,0.20722,0.0,0.0,0.0,0.09915,0.09915,0.10799,0.10488,0.0702,0.19579,0.13987
74171,Secu,0.16776,0.0875,0.19151,0.22935,0.20533,0.1625,0.17499,0.10963,0.16184,0.10306,0.09875,0.07558,0.0,0.14802
74224,Silistea Crucii,0.0,0.04649,0.17957,0.13137,0.10712,0.07549,0.05407,0.05434,0.08559,0.11307,0.18743,0.19472,0.14374,0.16048
74705,Verbita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10799,0.10802,0.16199,0.16199,0.20575
