,F1
2008,0.9040522122738545
2009,0.8988425370331267
2010,0.9283653361114295
2011,0.9423768455132471
2012,0.9526207291765332
2013,0.9582585020025267
2014,0.9616597080651028
2015,0.9606085185976054
2016,0.9621066968904828
2017,0.957667262418601
2018,0.9511341028936835
2019,0.9447979801043425
2020,0.9261102232898887
2021,0.9142767324735084
