Judet,Indicativ,BoliInfectioase,Tuberculoza,Tumori,BoliEndocrine,Diabet,TulbMentale,SistNervORL,ApCirculator,BoalaIschemica,BoliCerebroVasculare,BRespiratorii,BDigestive,BGenitoUrinar,SarcinaNastere,MalfCongenitale,Accidente,AlteCauze
 Mures,ms,21.15201749,4.492463892,302.4925687,20.7776455,19.28015754,0.935929977,30.51131727,663.948726,349.2890676,149.1872384,144.1332165,72.25379426,7.113067829,0.187185995,3.182161923,62.1457505,29.38820129
 Neamt,nt,17.26813552,7.498006212,290.1501192,33.6274218,32.94578487,0.681636928,9.315704688,848.1835512,219.0326663,213.3523586,120.422524,127.9205302,32.94578487,0.227212309,1.817698476,72.93515133,29.08317561
 Olt,ot,13.00685283,8.671235217,229.2776606,3.570508619,2.805399629,2.550363299,12.24174384,1063.246459,215.2506625,356.0307166,114.0012395,95.38358739,19.38276107,,0.76510899,60.95368285,13.26188916
 Prahova,ph,13.56241226,3.635285761,267.7527782,28.52301136,27.12482453,0.279637366,39.00941259,798.9239554,318.9264162,162.0498537,121.0829796,100.9490892,22.3709893,,0.838912099,46.97907753,16.49860461
 Salaj,sj,8.060998046,4.741763557,286.8766952,5.690116268,5.215939912,3.31923449,9.009350758,876.2779053,389.298788,242.3041177,72.54898242,85.35174402,9.957703469,,1.896705423,64.01380802,23.70881778
 Satu Mare,sm,18.0751202,7.23004808,266.0055189,4.217528047,0.90375601,2.71126803,15.06260017,684.7458036,338.0047477,182.859966,113.2707533,95.19563305,20.78638823,,1.506260017,52.71910058,39.76526444
 Sibiu,sb,25.92320251,3.489661877,232.8102995,5.982277503,5.234492815,0.249261563,36.39218814,588.7558109,257.9857173,101.9479791,125.378566,60.32129815,14.20790907,,1.495569376,47.60895846,20.6887097
 Suceava,sv,16.51551496,4.649999359,231.2172095,4.489654553,3.52758572,1.282758444,10.42241236,793.7067871,261.6827225,203.3172133,63.49654297,61.5724053,19.40172146,0.160344805,2.084482471,55.15861308,21.48620393
 Teleorman,tr,22.01998691,7.842735063,294.1025649,8.14437872,8.14437872,3.318080219,7.239447751,1242.771864,274.7973709,414.7600274,88.07994763,97.73254464,24.73477982,,1.206574625,57.91558201,12.66903356
 Timis,tm,16.86665703,6.378147616,242.3696094,3.259942115,3.259942115,1.133892909,59.10416791,530.0949352,150.807757,90.00274969,85.18370482,50.59997109,36.85151956,,0.708683068,32.31594792,30.0481621
 Tulcea,tl,33.10401903,5.172502974,357.9372058,16.55200952,16.55200952,0.517250297,23.27626338,842.6007345,233.2798841,218.2796255,84.31179848,104.4845601,18.10376041,,2.586251487,72.41504164,19.6555113
 Valcea,vl,20.89929973,2.576625994,192.674366,6.298419097,6.298419097,0.286291777,14.02829708,588.0433102,121.3877135,261.0981007,49.81476922,76.15361272,14.88717241,,1.145167109,41.79859946,8.302461537
 Vaslui,vs,33.01003183,2.952116668,284.2083228,9.929846973,9.929846973,0.268374243,14.22383485,790.3621442,267.0323713,265.6905001,144.3853425,123.4521516,8.856350003,,2.14699394,78.36527881,26.03230152
 Vrancea,vn,9.712631434,3.759728297,247.5154462,30.39113707,25.378166,21.30512702,32.27100122,823.0671863,187.6731042,154.1488602,93.67989673,114.9850237,19.73857356,0.313310691,2.819796223,62.66213828,24.75154462
