County,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another
ab,90.67916942417096,4.608061544388828,4.439038182501732,0.0031070470935127964,0.22091104834875983,0.004971275349620474,0.0027963423841615167,0.0,0.0,0.0021749329654589577,0.0015535235467563982,0.000932114128053839,0.001864228256107678,0.01739946372367166,0.0059033894776743135,0.000932114128053839,0.0015535235467563982,0.0021749329654589577,0.0,0.0021749329654589577,0.0,0.005281980058971754
ag,97.08283543907899,0.035525427877432174,2.7998796554883385,0.0016997812381546495,0.007988971819326852,0.011218556171820687,0.008668884314588713,0.0,0.0027196499810474392,0.0,0.0,0.0,0.006289190581172203,0.010028709305112432,0.0022097156096010442,0.0,0.0005099343714463949,0.0010198687428927898,0.005609278085910344,0.0010198687428927898,0.0008498906190773247,0.02192717797219498
ar,84.21315442745092,9.034862421607137,4.0706197022245405,0.3052902977013,0.714898413726445,0.006921561405373603,0.004449575189168745,0.0,0.20344446559365986,1.0965730855084752,0.13225126256695993,0.0017303903513434008,0.0017303903513434008,0.0630356485132239,0.027191848378253444,0.027191848378253444,0.006921561405373603,0.005191171054030203,0.0014831917297229151,0.0034607807026868016,0.0,0.07959795616179645
b,97.32625046817971,0.20194101446652762,1.441242018400139,0.016773308435891993,0.07268433655553197,0.13917637644835112,0.054888998573366994,0.02506978357622567,0.01232447394035075,0.001983939707471096,0.017795337982164983,0.0004809550805990536,0.04232404709271672,0.025851335582199132,0.08013914030481731,0.002404775402995268,0.009619101611981071,0.062043205397277916,0.03396745256730816,0.0027654917134445583,0.016713189050817114,0.41356124993011123
bc,96.39253101004644,0.7210795828162835,2.6357892266084924,0.003624382776242689,0.015187889729016982,0.007248765552485378,0.004832510368323585,0.0008629482800577831,0.0005177689680346698,0.0,0.0,0.0,0.004832510368323585,0.012599044888843633,0.0069035862404622644,0.0,0.0017258965601155661,0.0,0.005005100024335142,0.14048797999340706,0.0,0.04677179677913184
bh,66.98692799698577,25.277416546408627,6.334992254102033,0.012803137134401846,0.12601944979432675,0.007498980321578225,0.004023843099383437,0.0,0.0036580391812576704,1.1083858719210742,0.004206745058446321,0.0,0.007316078362515341,0.02176533312848314,0.030178823245375783,0.0,0.0032922352631319035,0.0025606274268803694,0.001097411754377301,0.0007316078362515341,0.0,0.06712501897607825
bn,90.2263063351928,5.2235189523812995,4.34868154971197,0.01421018688217569,0.14938914414594956,0.004372365194515597,0.005465456493144495,0.0,0.0,0.0,0.0,0.0,0.0010930912986288992,0.008016002856611927,0.0025505463634674314,0.0,0.0014574550648385322,0.0014574550648385322,0.0,0.0,0.0,0.013481459349756423
br,96.32390550391204,0.017159507522134115,2.8230689779203337,0.009239734819610677,0.009239734819610677,0.05972828579819759,0.6385316741409521,0.0023099337049026693,0.0,0.0,0.003959886351261719,0.0,0.058408323681110354,0.011219677995241536,0.008249763231795248,0.0,0.0,0.0,0.003299905292718099,0.0013199621170872397,0.011549668524513347,0.018809460168493164
bt,98.6262773055015,0.004319083744493168,1.054364561155685,0.1656495647887968,0.006351593741901718,0.0038109562451410306,0.10264175486913177,0.0,0.0,0.0,0.0,0.0,0.0030487649961128244,0.002794701246436756,0.013719442482507711,0.0,0.0,0.0,0.005335338743197443,0.0,0.0,0.011686932485099161
bv,87.96858687510431,7.69415864908815,3.593647516329469,0.009508544106061018,0.5646910887477053,0.014359842119357456,0.0155241536425486,0.0017464672847867175,0.002716726887446005,0.0009702596026592875,0.0032988826490415774,0.0,0.013389582516698167,0.02018139973531318,0.013583634437230025,0.0007762076821274301,0.0021345711258504325,0.002716726887446005,0.0013583634437230026,0.006791817218615013,0.0017464672847867175,0.06811222410668198
bz,95.20615175634877,0.013258095579239218,4.738955075989821,0.0009303926722273136,0.003954168856966082,0.010234319394500448,0.002325981680568284,0.0,0.0,0.0,0.0,0.0,0.0,0.00581495420142071,0.0,0.0,0.0,0.007443141377818509,0.0,0.0,0.0006977945041704852,0.010234319394500448
cj,80.10682242501976,15.93032089788662,3.4641162159086365,0.024145005367265524,0.10165508629148097,0.012456977291391768,0.007843281998283705,0.0013841085879324187,0.0030757968620720414,0.007228122625869297,0.002460637489657633,0.0,0.011380448389666552,0.020607838975882677,0.027682171758648372,0.0010765289017252145,0.0033833765482792454,0.0016916882741396227,0.00968876011552693,0.0019992679603468267,0.0006151593724144082,0.2603662043743983
cl,91.64581477868725,0.01873135699845908,8.106083096540708,0.0010602654904788159,0.0031807964714364477,0.17741775874012186,0.004947905622234474,0.0010602654904788159,0.0,0.0,0.002473952811117237,0.0,0.0014136873206384213,0.0031807964714364477,0.0010602654904788159,0.0,0.0,0.0014136873206384213,0.00600817111271329,0.0,0.009188967584149738,0.016964247847661054
cs,89.80109484348597,1.0698100774194974,2.677102162076595,0.9030433998313926,1.0561889580579966,0.005153937055703015,0.006626490500189592,0.0,1.8432687741360714,0.0670011817241392,0.006258352139067947,1.870511012859073,0.0022088301667298636,0.0092034590280411,0.00846718230579781,0.5691419062940616,0.0014725534444865757,0.0011044150833649318,0.0,0.0014725534444865757,0.0,0.10086991094733044
ct,91.21920424487969,0.0674450011587115,1.3668001182684855,0.011667026266791327,0.021416185202055314,3.326381064256547,0.5667297964663295,3.131397885551267,0.00207768960915462,0.0006392891105091138,0.0033562678301728476,0.0006392891105091138,0.039955569406819616,0.007671469326109366,0.004954490606445632,0.0,0.003196445552545569,0.0012785782210182276,0.04059485851732873,0.004954490606445632,0.07895220514787556,0.10068803490518544
cv,22.069983136593592,73.7617161457312,4.0511392603631515,0.005882583630730617,0.04755088434840582,0.002451076512804424,0.002451076512804424,0.0,0.0,0.0,0.0014706459076826543,0.0,0.0,0.004411937723047963,0.0053923683281697325,0.0,0.001960861210243539,0.0,0.0014706459076826543,0.037746578297188124,0.0,0.006372798933291501
db,94.03998943856365,0.025403454869862303,5.4699439123720826,0.002400326444396438,0.005400734499891985,0.009001224166486643,0.002200299240696735,0.0,0.09141243209076434,0.0,0.3162430090492307,0.0,0.006000816110991095,0.007401006536889017,0.0,0.0,0.0,0.0,0.0,0.0010001360184985159,0.0,0.023603210036564973
dj,95.06853956467747,0.027968809183998005,4.767802946154449,0.0020776829679541374,0.008950018938879362,0.0060732271370967095,0.0011187523673599202,0.0,0.014543780775678963,0.0004794653002971087,0.009908949539473579,0.0,0.01390449370861615,0.007511623037988036,0.009589306005942173,0.0,0.0006392870670628116,0.0,0.0,0.0020776829679541374,0.021256294979838483,0.03755811518994018
gj,97.89026197511404,0.032864806964904646,2.0357922092149265,0.005477467827484108,0.0051731640592905465,0.0018258226091613693,0.0012172150727742463,0.0,0.0036516452183227386,0.0009129113045806846,0.0,0.0,0.0012172150727742463,0.0066946829002583535,0.0,0.002738733913742054,0.0,0.0009129113045806846,0.0,0.0,0.0,0.011259239423161777
gl,96.36495333723104,0.024144515902456157,3.389211591762131,0.008580282510790203,0.010974779955661889,0.01496560903044803,0.034919754404378736,0.0005986243612179212,0.0013967901761751495,0.0,0.0009977072686965353,0.0,0.030330300968374677,0.009777531233226047,0.011174321409401196,0.0,0.0005986243612179212,0.0007981658149572283,0.005786702158439905,0.0,0.0011972487224358424,0.08959411272894888
gr,94.16874578173463,0.014029287084714143,5.770207860950807,0.0,0.0034125292908764133,0.016683476533173577,0.002275019527250942,0.0,0.0,0.0,0.0015166796848339614,0.0,0.001137509763625471,0.001137509763625471,0.0,0.0,0.0,0.003033359369667923,0.001137509763625471,0.0,0.0,0.016683476533173577
hd,93.61151803698957,4.040519644346782,1.9003438523672913,0.024669881381106432,0.24288388370058395,0.006612545524832651,0.003814930110480376,0.0,0.006866874198864677,0.013988077071761378,0.0030519440883843008,0.0,0.010173146961281002,0.02568719607723453,0.010681804309345053,0.003814930110480376,0.012462105027569228,0.01500539176788948,0.0,0.0033062727624163257,0.0010173146961281003,0.06358216850800627
hr,12.962399449618967,85.23860870025402,1.760293183742591,0.0026460626587637595,0.017860922946655377,0.0013230313293818797,0.0,0.0,0.0009922734970364098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009922734970364098,0.007276672311600339,0.0,0.0076074301439458085
if,94.79546172913443,0.06460270721387655,4.334758474599768,0.007763415459178298,0.025508365080157264,0.14500951018393748,0.02051759799925693,0.005545296756555927,0.000831794513483389,0.0,0.010258798999628465,0.0,0.029112807971918616,0.023844776053190485,0.030221867323229804,0.0,0.0036044428917613525,0.18604470618245136,0.014695036404873206,0.005822561594383723,0.016358625431839986,0.2800374862060743
il,94.22964493120786,0.006625872081693105,5.561445219628172,0.005846357719140975,0.001169271543828195,0.022216159332735706,0.13875355653427915,0.0,0.0019487859063803251,0.0,0.0,0.0,0.00233854308765639,0.00545660053786491,0.0,0.0,0.001169271543828195,0.0,0.0038975718127606503,0.0,0.010523443894453754,0.008964415169349496
is,97.74284181828793,0.016396495040755018,1.566837949826725,0.00708662073795344,0.011533127867649715,0.009309874302801578,0.39434960106493844,0.0009726734346210603,0.0005558133912120345,0.0,0.000694766739015043,0.0,0.02626218273476863,0.010977314476437681,0.029874969777646854,0.0,0.0023622069126511464,0.0012505801302270777,0.0016674401736361034,0.00041686004340902585,0.0009726734346210603,0.1756370316230029
mh,94.87971228668805,0.05767081976667347,4.372169023560933,0.002402950823611395,0.05767081976667347,0.015619180353474066,0.002402950823611395,0.0,0.3936834432683335,0.0,0.0016019672157409298,0.0,0.00800983607870465,0.0032039344314818597,0.003604426235417092,0.18542770522201263,0.0,0.006407868862963719,0.0,0.0012014754118056974,0.0,0.009211311490510347
mm,82.95998298656647,7.223398787792862,2.7017686881933862,6.815563747208733,0.22994718746677065,0.004209052564420657,0.002658348988055152,0.0,0.000664587247013788,0.0015507035763655053,0.000664587247013788,0.0,0.0008861163293517173,0.009082692375855102,0.009525750540530961,0.0,0.0015507035763655053,0.0,0.0008861163293517173,0.001329174494027576,0.0,0.03633076950342041
ms,52.61778068652838,38.102609338986426,8.905898756509119,0.004363125895152187,0.27392842576520693,0.00910565404205674,0.007208642783294919,0.0005691033776285462,0.0005691033776285462,0.0009485056293809103,0.002276413510514185,0.0,0.0007588045035047283,0.008536550664428193,0.013848182188961292,0.0007588045035047283,0.0017073101328856388,0.0005691033776285462,0.002655815762266549,0.0015176090070094567,0.0,0.04439006345502661
nt,98.4450995006502,0.016339101259901383,1.429559448588906,0.003581172878882495,0.014100868210599825,0.007833815672555458,0.04409319107124072,0.0,0.0,0.0008952932197206238,0.0,0.0,0.005147936013393586,0.011191165246507796,0.007609992367625302,0.0,0.0,0.0,0.0015667631345110916,0.0008952932197206238,0.0,0.01208645846622842
ot,97.64674872050199,0.012447190961874986,2.3183503322911863,0.0,0.0019525005430392134,0.006101564196997543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029287508145588205,0.0,0.0,0.0007321877036397051,0.0,0.0,0.0,0.0007321877036397051,0.01000656528307597
